SHIMPCONTROLS,0,NAME_SUB,ID_SHIMP,CONTROLABLE_SHIMP,CTRLTYPE_SHIMP,VREGLINELINE_SHIMP,REGBRANCH_SHIMP,REGBRANCHTYPE_SHIMP,REGBRANCHDIRECT_SHIMP,REGBRANCHEND_SHIMP,LOCALOVERRIDE_SHIMP,LOWLEVELOVER_SHIMP,HIGHLEVELOVER_SHIMP,ONLEVEL_SHIMP,OFFLEVEL_SHIMP,PHASESENSE_SHIMP,TIMESCHED_SHIMP,TDELAY_SHIMP,CTRLOVERRIDETYPE_SHIMP,OVERRIDESCHED_SHIMP,LOCALPERM_SHIMP,PERMSCHED_SHIMP,PERMCTRLLEVEL1_SHIMP,PERMCTRLLEVEL2_SHIMP,LOWTLEVELOVER_SHIMP,HIGHTLEVELOVER_SHIMP,REGUSEUNREGULATEDNODE_SHIMP,REGTF_SHIMP
SHIMPCONTROLS,1,CATEMU,2135_39461961_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.998,1.029,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,PLAYA ANCHA,2135_40415149_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.9667,1.0583,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_41772253_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.975,1.025,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_42480627_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_LONGAVI,2135_50648185_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_EL_TOTORAL,2135_51364877_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_EL_TOTORAL,2135_51364913_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SSEE_ALGARROBO_NORTE,2135_51364941_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_58385634_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.975,1.0167,AC,,90,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_65900084_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
